sentence_a,sentence_b,label
用一边也造句,用一边同时造句,0
找一张搞笑的图片！,求一张搞笑图片,1
红领巾像什么,红领巾脏了用什么洗,0
我的世界红石有什么用。,我的世界红石在哪,0
求这类头像！,求这类头像,1
有什么软件可以调节屏幕亮度,什么软件可以调节电脑屏幕亮度,1
最近有什么好看的搞笑的电影,最近有什么好看的电影搞笑的,1
爸爸别走的片尾曲是什么啊？,爸爸，去哪了主题曲叫什么,0
怀孕了能做头发吗？,怀孕前可以染头发吗,0
关于毛坦厂中学,毛坦厂中学，急,1
很抱歉的，建议您电话联系对方,您好。，建议您联系运营商咨询一下，小二不是很清楚,0
求三生三世枕上书的全文,求三生三世枕上书全文,1
求娱乐圈重生耽美文,求重生娱乐圈耽美文,1
用黄瓜片敷在脸上起什么作用,黄瓜片贴在脸上有什么作用,1
辛苦您提供下正确的身份证的后8位这边帮您核实下,辛苦您提供i下正确的身份证的后8位这边帮您核实下,1
馒头和包子的区别是什么？,包子和馒头的区别是什么？,1
关于描写鱼的好句,描写人又矮又瘦的好词好句,0
找一首中文歌,寻一首中文歌,1
揣摩的意思是什么,揣摩是什么意思？,1
今天高速还收费吗?,今天上高速收费吗？,1
安卓手机在哪里可以升级版本？,手机上可以玩侠盗飞车吗,0
朝霞不出门，晚霞行千里。是什么意思呢？,朝霞不出门晚霞行千里什么意思,1
寻80年代街头电子游戏厅里的游戏名称,以前电子游戏厅里都有什么麻将,0
橙光游戏什么？,橙光游戏是什么？,1
氩弧焊机的价格,氩弧焊机价格,1
上赶集网找工作,赶集网的要工作靠谱吗,0
优酷视频的密码怎么破解？,怎么破解优酷的视频密码,1
飞机头发型怎么剪,飞机头发型自己怎么抓？,0
天天酷跑下一个坐骑是什么？,天天酷跑，下一个坐骑是什么？,1
女如何炼腹肌视频,如何练腹肌视频,1
梦见自己喜欢的男生成佛了是什么意思？,我是男的，梦见自己喜欢猫，什么意思,0
属猴的和属鸡的能结婚吗,属鸡的可以和属虎的结婚吗？,0
黄冈烟草网上订货新商盟,新商盟烟草网上订货,0
没身份证怎么买火车票？,没身份证怎么买火车票,1
死飞自行车大概多少钱？,死飞自行车多少钱,1
怎样关闭新浪微博,新浪微博如何关闭？,1
求一部电影的名字,求一部电影的名字！,1
大姨妈是什么意思,你大姨妈来了是什么意思？,1
八仙的是什么,笑八仙指的是什么,0
亲，很抱歉，由于咨询量比较大，让您久等了。,您好，很抱歉，目前短信校验服务已经下线了,0
摩尔庄园糯米在哪里,摩尔庄园谁能帮我修复水系图腾？,0
时空猎人号被盗，怎么找回，官方版本的,我的时空猎人号被盗了，怎么找回,1
这是什么动漫人物,这是哪个动漫的人物？,1
怎么去跟喜欢的人聊天？,怎么跟喜欢的人聊天？,1
好看的动画片是什么,什么动画片最好看？,1
如何写小说赚钱？,怎样看小说赚钱,0
这张图片什么含义？,这张图片的含义,1
电脑我的世界,我的世界电脑版怎么玩,1
这个表情是什么系列？,这个系列表情叫什么,1
高数微积分求极限问题,微积分极限问题，求解答,0
这是什么电影的图,这图是什么电影的？,1
我的世界哪个地图有狼,我的世界里地图咋做,0
申请多伦多大学的条件是什么,多伦多大学读研的申请条件是什么,1
快手怎么上热门？,快手怎么上热门？泊宅式,1
微乐怎么加粉丝,微乐怎么加粉丝快,1
英雄联盟这是什么啊,这是英雄联盟的谁,1
我是歌手双年巅峰会邓紫棋唱什么歌了,我是歌手双年巅峰会邓紫棋唱什么,1
最新有什么好看得电影呀,有什么最新好看的电影？,1
就是您的账户是可以在阿里巴巴旗下的网址通用的账户的。,是您的这个账户是可以在阿里巴巴旗下的网址通用的账户的。,1
淘宝集分宝有什么用？,淘宝集分宝有什么有，,1
现在什么歌最好听最流行,现在什么歌最好听，最流行？,1
人的生命为什么很脆弱,人的生命为什么那么脆弱和短暂,1
太阳黑子小说,太阳黑子的全部小说,1
属蛇的守护神是什么？,属蛇守护神是什么,1
梦幻西游新手怎么赚钱,梦幻西游新手怎么赚钱？,1
银行卡怎么转账到余额宝,余额宝转账到银行卡怎么取消,0
您到朋友-消息中心-代办事项查看下,您想解决的问题只有这一种方式，没有其他方式。,0
有免费阅读的小说吗,有什么阅读软件可以免费看小说,0
颈椎病怎么治疗？,颈椎病怎样治疗,1
我的头型适合留什么样的发型,我这头型适合什么样的发型呢、谢谢,1
我适合演金庸里的的什么人物,那么问题来了这梗的出处是什么,0
我这边查不到的哦,您好那我这边查询到您输错了3次支付密码,0
孕妇能不能玩电脑和手机？,怀孕不能玩电脑，手机吗？,1
武汉有什么好玩的地方,武汉什么地方好玩？,1
小时代周崇光与宫铭什么关系,小时代3记得陆烧和周崇光什么关系，,0
什么牌子的瘦腿霜最好？！,什么牌子的钩机最好用？,0
这个是网购还款，请问您说的是花呗还是天猫分期网购还款？,申请分期成功后不会立即恢复额度，但分期还款成功时您的额度会实时恢复的,0
求出处，一张图片。,找一张图片出处,1
苏教版六年级上册习作8怎么写？,苏教版六年级语文上册习作六怎么写啊,0
人们常把记者比喻成什么,什么用来比喻记者,1
有没有情侣的头像,有没有和这情侣的头像,1
"昨天晚上做梦梦见孩子丢了,请问有什么预兆吗",开车撞死狗有什么预兆,0
有什么好玩的双人小游戏,有什么好玩的双人游戏,1
谁知道这块石头是什么石头,谁认识这块是什么石头,1
关于蛇、蟒的电影都有哪些,吻戏多的电影,0
求好看的有个性的情侣头像,求好看个性的情侣头像,1
支付宝怎么开通，怎么用,邮政卡怎么开通支付宝,0
雅漾去红血丝怎么样，大家用什么？,雅漾去红血丝产品怎么样,1
元旦去哪里玩比较好？,元旦去哪里玩比较好,1
吃什么菜对皮肤好,泡什么茶喝对皮肤好,0
如何折康乃馨,康乃馨怎么折？,1
搬家公司怎么收费的,搬家公司怎么收费呢？,1
孕妇适合什么补水面膜,孕妇能用什么补水面膜,1
请认真和我恋爱无修版,认真和我恋爱无修版,1
网络上有什么兼职吗？,在网络上有什么可以兼职的,1
自己泡的柠檬水过夜了可以喝吗,过夜的柠檬水还能喝吗,1
谁知道，这是什么车？,谁知道这是什么？,0
手机卡的服务密码是什么,什么是手机卡服务密码？,1
计算机应用技术都学什么,现在的计算机应用技术怎么样？,0
如何查驾驶证的真伪,驾驶证真伪怎么查？,1
怎么写歌词赚钱,我如何靠写歌词来赚钱,1
左眼跳是怎么回事,左眼老跳怎么回事,1
情人节送老婆什么礼物呢？,情人节送老婆什么礼物好,1
若即若离，若相依。花似花飞，花满天.是什么意思,如相依，莫相离。什么意思,0
完美世界好看吗,《完美世界》国际版那个职业好,0
如果是这样的话，您直接拨打95188-2咨询我们的专线就可以的,这边为您查询到对方的旺旺是【自由自在617723】，辛苦联系下对方的旺旺,0
医院怎么取精的,医院如何取精,1
周瑜与诸葛亮,诸葛亮哭周瑜,0
黄叔叔的儿子叫什么,叔叔的儿子叫什么,1
赛尔号现在的鱼龙王怎么得到？,赛尔号鱼龙王怎么得？,1
师傅的姐姐该叫什么?,女师父的老公该叫什么？,0
这又是哪位明星？,不怕不怕是哪位明星唱的,0
为什么男人喜欢舌吻,为什么男人都喜欢舌吻？,1
洛阳的特产是什么？,洛阳有什么特产？,1
不知道组词怎么组？,谁知道卜怎么组词,0
这样的配置能耍什么游戏,我这配置能最多玩什么游戏,1
怎样在微信上卖东西？,微信上卖东西怎么卖？,1
书签怎么做？,怎么做书签？,1
现在有什么好看的偶像剧吗？,现在有什么好看的偶像剧,1
意大利的首都是哪里,意大利的首都是那里,1
这个纹身是什么意思,这个纹身的意思是什么？,1
有什么软件可以领天天酷跑钻石的,天天酷跑有什么软件可以很快领到钻石,1
喜欢听音乐的动物有哪些,适合开车听的歌曲有哪些？,0
千军万马，是什么生肖？,千军万马是什么生肖？,1
中国历史上第一位女皇帝是谁,中国历史上的第一位皇帝是谁,1
现在网上开店卖什么好？,想打听下.现在在网上开店卖什么好.,1
为什么明星长得都很好看撒~,为什么明星都长那么好看,1
怎么下载腾讯时空猎人,时空猎人我忘记在哪个区了怎么办,0
您好，麻烦您输入一下收款的账户，辛苦您了,您好，请您切换输入法到英文半角状态输入试一下，辛苦您了,0
个体工商户，是否有组织机构代码？,您好，这边显示失败的原因是非盈利机构请同时提交组织机构代码证。,0
给男朋友起外号该叫什么好？,给男朋友起外号什么好,1
我的美女总裁老婆什么时候更新,对我而言，可爱的她什么时候更新,0
怎么参加《中国梦想秀》？,《中国汉字听写大会》何时开始？,0
如何能提高自身能力,吃烤肥腰能提高性能力吗？,0
玩什么手机游戏可赚钱的,有什么可以赚钱的手机游戏,1
有什么好的赚钱软件吗,现在这个季节有什么水果可以买？,0
哪个网站有好的系统下载,哪个网站下载的电脑系统好一点,1
跪求这都是什么电影？,跪求。一部电影名字叫黑什么的,0
学习英语最好的网站有哪些,学英语有哪些好网站，可免费下听力,1
天天飞车破解版怎么下载,怎么下载天天飞车破解版,1
手机号码是实名制的问题,手机号码实名制问题,1
功的单位是什么,年是什么单位,0
小说封面制作,制作小说封面,1
怎么看手机分辨率,手机分辨率怎么看,1
电信手机怎么充话费,电信手机话费怎么用,0
有一夜情吗？,怎么找一夜情,1
刀客家族的女人电视剧哪里可以看全集,电视剧刀客家族的女人哪里能看全集。,1
同事过生日应该送什么礼物啊！,一个女同事要过生日了送什么礼物,1
怎样可以让下面出水,怎样搞才能让自己下面出水,1
什么是低情商的表现？,情商低的表现是什么,1
什么时候会世界末日？,什么时候世界末日？,1
这两个字是什么意思,那两个字什么意思?,1
这个是什么品牌？,抱被什么品牌,0
演讲中国大学生,中国大学生失业人数,0
赵薇的女儿叫什么名字,你猜我叫什么名字,0
错把移动套餐当成流量套餐换了怎么办？,手机流量不够了，怎么办？,0
找对象的网站,找对象哪个网站靠谱,1
怎样去除水垢,不锈钢水壶表面水锈怎样去除,0
她是谁？叫什么名字啊？,妈的，她是谁！求名字,1
有什么好玩的手机单机游戏？,有什么好玩的手机单机游戏。,1
昨天是什么日子,昨天什么日子,1
我家的狗是什么品种的？,我家的是什么品种的狗,1
描写风景的四字词语,含反义词的四字词语,0
湖南卫视花儿与少年主题曲歌词,花儿与少年歌曲演唱顺序,0
夸奖的反意思是什么,遽而追之的之是什么意思,0
这个英语怎么翻译。,这个用英语怎么翻译,1
开汽车美容点加盟好还是自己开好,开汽车如何开才能不出事故？开的好？,0
天天酷跑破解版怎么下载,怎么下载破解版天天酷跑,1
怎么才能增加微博粉丝,微博怎样增加粉丝,1
祝你生日快乐吉他谱,生日快乐歌吉他谱,1
怎样和朋友说跨年的祝福语？,朋友祝福语怎么写,1
这世界有鬼吗,世界上有鬼吗,1
双管齐下，稳吃三注，是什么生肖,双管齐下，稳吃三注是什么生肖？,1
抓烟机的烟什么时候好抓,在什么时候吃水果在好啊,0
刀塔传奇首抽死骑,刀塔传奇忘了那个区,0
南京工业大学在哪里？,在郑州，哪里有食品机械市场啊？,0
冬天穿什么衣服好？,冬天穿什么衣服,1
你也很漂亮韩语翻译中文怎么说?,请问你真漂亮用韩语怎么说？,0
我这个配置能玩幻想神域吗？,我这配置能玩幻想神域吗？,1
在一起了还强吻我，什么意思,在一起爱吧什么意思,0
山东有什么山,山东都有什么州,0
我爱你你爱我吗,么么哒，我爱你，你爱我吗,1
农业户口与非农业户口的区别,农业户口与非农业户口区别,1
"知道平行四边形的周长,面积怎么求?",平行四边形的面积和周长怎么求,1
您是要找回什么密码的那,请问需要帮您申请找回支付密码和清空安保问题吗？,0
华为手机怎么刷机啊，,华为手机怎么刷机？,1
这些是怀孕的反应吗？,香港代购的奶粉是假的吗,0
鼠和什么生肖相冲,狗和什么生肖相冲,0
请问深圳哪里有卖仪器表的啊，急急急。,急急急，上海有化学仪器玻璃仪器一条街么？在哪,0
这是什么牌子的皮带,这是什么牌子的皮带啊？,1
求一个字怎么打：石字旁右边示,石字旁，右边一个示，怎么念？,1
你们现在都用什么软件看电影啊,现在有什么好的看电影软件,1
刘德华第一首歌是什么歌,刘德华1999演唱会的第一首歌穿的衣服是什么,0
三亚在哪个省,三亚是哪个省,1
什么是龙卡通,这叫什么卡通狗？,0
无霜冰箱哪个牌子好？,冰箱压缩机那个牌子好？,0
赛尔号奈落达尔哪抓,赛尔号奈落达尔在哪,0
《原来我拥有这么多》作文600字,作文600字“我原来也拥有这么多”,1
求一张漂亮点的女人在弹钢琴的图片,弹钢琴或者谈吉他女生图片乐器的都可以要好看的,0
怎么才能让腿变直,怎样可以让腿变直,1
日本骂人字什么打,一人打一字是啥字,0
小炒河虾是哪个地方菜,小炒河虾是哪个地方的菜,1
有没有这个的情侣头像,这个头像是谁，有没有情侣的？,1
多肉植物，这个叫什么名字？,这种多肉植物名字叫什么？,1
手机玩啥可赚话费,手机话费可以买什么,0
如何练习小提琴的指法,每天如何练习小提琴.,0
为什么多米音乐播放器下载不了音乐？,多米音乐播放器，多米音乐播放器下载,0
高锰酸钾怎么买，多少钱啊,高锰酸钾怎么用,0
北京站到798艺术工厂,北方工业大学到798艺术工厂,0
上火该吃什么药才好啊,上火了，该吃什么药好,1
什么是女人？,这个女人叫什么,0
南瓜花怎样做好吃,南瓜怎么做才好吃的,0
轮滑鞋哪个牌子好,轮滑鞋哪个牌子好？,1
求一部好看的电视剧,求好看电视剧一部！,1
日语不要怎么读？,不要怕用日语怎么说,0
有美甲图片吗,织围巾的毛线有卖吗,0
4、输入校验码和支付密码，点击【确认】，即可关闭短信校验服务。,证件号码输入格式为：香港：a-123456-b；都输入身份证了吗？,0
吃什么润肠通便？,吃什么可以通便润肠,1
春风物语的漫画全集下载,春风物语全集漫画下载,1
百度知道怎么提问,百度知道要怎么提问,1
锦鲤喂什么可以增色,锦鲤吃什么增色,1
你好用韩语怎么写,我爱你用日语来写怎么写？,0
天天酷跑怎么得高分？,天天酷跑怎么玩更高分？,1
求七夜强宠的全文免费阅读,求七夜强宠全文免费阅读,1
怎么下破解版的游戏？,怎么下破解版游戏,1
郑州哪里割双眼皮好？,在郑州的哪里割双眼皮好,1
剑灵气功师刷图加点,剑灵气功师千魂彩绫能不能重刷,0
周杰伦和蔡依林会结婚吗？,周杰伦和蔡依林会结婚吗,1
懒人沙发的优点跟缺点是什么,读书的优点和缺点是什么,0
现在什么电影好看？,有什么好看的电影，现在,1
街头篮球代理,街头篮球代理！,1
神武怎么退房子,怎么可以进神武房子,0
天天酷跑怎么投诉,怎么投诉天天酷跑,1
自己如何组装电脑,如何组装电脑,1
格兰仕的空调怎么样？,格兰仕空调怎么样？,1
精子养女人吗,女人有精子吗？,0
怎么装修淘宝店铺?有没有免费模板的？,请问淘宝店铺装修的模板怎么找？,0
"你好,我想咨询一下.",你好。我想咨询一下啊。,1
长安和奇瑞哪个好？,奇瑞和长安的车哪个好一些,1
这个表情人物叫什么？,这个表情的人物叫什么？,1
"昨晚我做了个梦,",我昨晚做了个可怕的梦,1
，茶叶蛋是什么意思？,茶叶蛋是什么意思,1
广东金融学院宿舍,广东金融学院招生,0
有什么感人电视剧么？,最近有什么感人的电视剧,1
输入您的信息我核实一下呢(*^__^*),输入您的信息我为您查询一下呢(*^__^*),1
张杰什么歌好听?,张杰的什么歌好听？,1
什么鱼都吃米饭吗,蒸米饭什么锅,0
三赎基督教可信吗！怎么样,基督教可信吗？,1
世上射程最远的空对空导弹是那一种？,什么是空对空导弹啊？,0
怎么查普通话证,怎么说普通话,0
怎样制作二维码,二维码如何制作？,1
学习方法用英语怎么说,“最好的学习方法”用英语怎么说,0
端午节的手抄报,有关端午节的手抄报,1
建设银行卡密码输错3次怎么办,农业银行卡密码输错3次怎么办,0
封闭性粉刺用什么贴贴,搜狗拼音输入法不能在贴吧上用吗,0
永恒之塔捏人,关于永恒之塔,1
“挺萌的”是什么意思？,“萌”感觉什么意思,0
建议您实名认证后再操作,建议亲您先操作实名认证的哦,1
教师招聘问题,教师招聘的问题,1
有什么方法可以诅咒别人？,有什么方法可以诅咒一个人快点去死,1
贵州的简称是什么？,贵州的简称是什么,1
河南的简称是什么？,河南市的简称是什么,1
吸烟有害健康，吸电子烟有危害吗？,吸电子烟对人体有害吗？,1
用蛋清怎么做面膜,蛋清面膜怎么做,1
乌鲁木齐好玩的地方有哪些,乌鲁木齐有哪些好玩的地方?,1
羊毛被如何清洗呢？,滩羊毛怎么清洗,1
有哪些好看的泰剧呀？,最新的泰剧有哪些好看的,1
淘宝怎么提升流量,怎样提升淘宝流量,1
有关勤奋的成语有哪些？,关于勤奋学习的成语及名言警句有哪些,1
河蚌吃什么,河蚌吃什么呢,1
只有电脑，如何赚钱？,如何用电脑赚钱？,1
谁有我的世界手机版服务器,手机版我的世界有服务器么。,1
辛苦您提供一下您的邮箱，这边帮您核实一下，您看可以吗？,辛苦您可以可以提供一下您的新邮箱小二帮您修改一下邮箱登录名可以吗？,0
亲谁能给我推荐几本类似极品公子的小说？,有没有类似极品公子之类的好看小说，介绍一下,1
仰慕意思是什么,仰慕是什么意思？,1
谁知道什么软件能将视频慢放？,谁知道有哪个视频播放软件是带慢放功能的,1
北京工人体育馆在那了,北京工人体育馆(新),1
尚铭按摩椅怎么样,艾力斯特按摩椅怎么样,0
介绍几部打斗场面激烈，很热血的动漫,介绍一些好看的日本动漫，战斗要激烈！,1
男生眉毛什么样好看,男生什么样的眉毛好看,1
怎样对待不爱学习的孩子,怎样对付不爱做作业的孩子,1
叉叉助手全民飞机大战,全民飞机大战叉叉助手,1
大象和小象有什么区别？,大象与小象有什么区别？,1
全国计算机二级考试难吗？,全国计算机二级考试难吗,1
有什么好看的电视剧啊，求介绍,有什么好看的电视剧介绍下,1
疯狂猜图品牌标志三个字,疯狂猜图名人明星三个字男的,0
东莞火车站在哪里,东莞火车站在哪里？,1
有哪个好的单机游戏下载网站,下载单机游戏的网站,1
卧薪尝胆与哪个历史人物有关,历史人物与哪个成语有关,0
你若不离不弃、我便生死相依,你若安好、便是晴天什么意思、、,0
旅游管理这个专业好吗,旅游管理这个专业好么？,1
中国国花是什么,中国的国花是什么啊？,1
恋爱相对论主题曲是什么歌,恋爱相对论插曲一段音乐是什么,0
求疯狂猜歌答案…,【疯狂猜歌】这关答案是什么？,1
部落冲突游戏怎么找回,部落冲突游戏客服邮箱,0
第二季中国好声音冠军是谁,冠军会是那个，好声音！,0
怎么清除天天酷跑缓存,天天酷跑怎么抽奖几率大,0
这是什么水果啊？,这是什么水果…,1
谁可以送我洛克雪影娃娃的蛋,洛克雪影娃娃谁有啊,0
输入短信校验码，点击【确认】,输入验证码，点击【免费接收校验码】,0
想买面膜，买妖肌的怎么样,膜漾面膜怎么样？好用吗？,0
求一本忘记名字的小说,有一本玄幻小说，我忘了名字了。,0
当的楷书怎么写,穿楷书怎么写,0
中华小子第二部,新还珠格格大结局,0
嘉兴在什么地方,嘉兴有什么好地方可以玩,0
上火了吃什么药,人上火了，什么去火,1
烫伤后怎么处理,水烫伤后怎么处理,1
孕妇补锌吃什么好,孕妇补锌，吃什么好？,1
什么话可以全世界通用,什么话全世界都通用,1
死亡岛激流好玩嘛？不知俺这个配置玩得起不,逃离死亡岛和死亡岛激流哪个配置高啊？请详细点。,0
二次元是什么？,二次元是指什么,1
怎么画眼线好看,怎样画眼线好看？,1
怎么让腿变直？,怎么让腿变直,1
英雄联盟统治战场模式打法,英雄联盟刷统治战场的脚本,0
什么面膜补水效果最好？,什么面膜补水效果最好,1
什么是云备份？,什么是云备份,1
昔日反义词是什么,昔日的反义词是什么？,1
谁知道图片里的女孩叫什么名字,谁知道图片里的那个女孩叫什么名字,1
很抱歉造成您的不便哦。支付宝在线客服都是随机分配的哦,/(ㄒoㄒ)/~~真的十分抱歉，为您带来了不便,0
用什么牌子的内衣好？,什么牌子的内衣好？,1
现在哪里招工,现在哪里招工？,1
求音乐：美人吟李玲玉伴奏,求音乐：情锁陈思安伴奏,0
爱情里真的没有谁错谁对吗？,爱情里真的没有谁对谁错么？,1
太阳神的奖金制度如何？好做吗？,太阳神奖金制度好吗?好做吗,1
把足智多谋的人喻为,把足智多谋的人喻为(),1
谢谢您的合作亲，,感谢您的谅解的，请问您是想更换手机号码的,0
干荷叶与干冬瓜皮怎么煎水,干荷叶冬瓜皮怎么喝,0
