error_type,sentence_a,sentence_b,true_label,predicted_label,ml_probability,rule_score,word_tfidf,char_ngram_tfidf,normalized_jaccard,edit_similarity,negation_mismatch,opposite_mismatch,tokens_a,tokens_b
FP_误判为相似,珍珠鸟的阅读,《珍珠鸟》阅读题，急、,0,1,0.2833,0.6359,0.7474,0.2543,0.7143,0.4545,False,False,珍 / 珠 / 鸟 / 阅 / 读,珍 / 珠 / 鸟 / 阅 / 读 / 题 / 急
FN_漏判相似,淘宝实物怎么刷啊,在淘宝做实物店怎么做？,1,0,0.0923,0.4603,0.4774,0.1136,0.6,0.5455,False,False,淘 / 宝 / 实 / 物 / 怎 / 么 / 刷 / 啊,淘 / 宝 / 完成 / 实 / 物 / 餐厅 / 怎 / 么 / 完成
FP_误判为相似,海浪什么就像什么,海浪什么什么,0,1,0.3711,0.7338,0.8466,0.4589,0.6667,0.75,False,False,海 / 浪 / 什 / 么 / 就 / 像 / 什 / 么,海 / 浪 / 什 / 么 / 什 / 么
FP_误判为相似,这里有开封大学的吗,开封大学好吗,0,1,0.1749,0.5702,0.6328,0.2798,0.625,0.5556,False,False,里 / 有 / 开 / 封 / 大 / 学 / 吗,开 / 封 / 大 / 学 / 好 / 吗
FP_误判为相似,狗吃什么补钙,吃什么补钙,0,1,0.5733,0.8349,0.8466,0.7995,0.8333,0.8333,False,False,狗 / 味道 / 什 / 么 / 补 / 钙,味道 / 什 / 么 / 补 / 钙
FP_误判为相似,吾加偏旁组成什么字？,仑加什么偏旁可以组成字,0,1,0.1874,0.5481,0.6788,0.0987,0.6667,0.2727,False,False,吾 / 加 / 偏 / 旁 / 组 / 成 / 什 / 么 / 字,仑 / 加 / 什 / 么 / 偏 / 旁 / 可 / 以 / 组 / 成 / 字
FP_误判为相似,表示时间慢的成语,表示时间烦的成语,0,1,0.3107,0.6916,0.7168,0.4475,0.7143,0.875,False,False,表示 / 时 / 间 / 慢 / 成 / 语,表示 / 时 / 间 / 烦 / 成 / 语
FP_误判为相似,精子什么颜色,狗的精子是什么颜色的,0,1,0.5019,0.7575,0.8674,0.3299,0.8571,0.6,False,False,精 / 子 / 什 / 么 / 颜 / 色,狗 / 精 / 子 / 什 / 么 / 颜 / 色
FP_误判为相似,家里跑来一只狗好不好,家里来了一只猫好不好,0,1,0.2124,0.2475,0.7327,0.1742,0.625,0.7,False,True,里 / 跑 / 来 / 只 / 狗 / 好 / 不 / 好,里 / 来 / 只 / 猫 / 好 / 不 / 好
FN_漏判相似,家里可以养乌龟吗,家里放乌龟好吗,1,0,0.0526,0.4001,0.4503,0.0923,0.4444,0.5,False,False,里 / 可 / 以 / 养 / 乌 / 龟 / 吗,里 / 放 / 乌 / 龟 / 好 / 吗
FP_误判为相似,石榴是什么时候成熟的？,成熟的石榴像什么？,0,1,0.196,0.5523,0.6735,0.2046,0.6667,0.1818,False,False,石 / 榴 / 什 / 么 / 时 / 候 / 成 / 熟,成 / 熟 / 石 / 榴 / 像 / 什 / 么
FP_误判为相似,神武手游天兵怎么加点,神武手游盘丝怎么加点,0,1,0.2423,0.6443,0.6694,0.4197,0.6667,0.8,False,False,神 / 武 / 手 / 游 / 天 / 兵 / 怎 / 么 / 加 / 点,神 / 武 / 手 / 游 / 盘 / 丝 / 怎 / 么 / 加 / 点
FN_漏判相似,如何在家自己做生日蛋糕上的奶油,如何在家里制作蛋糕上面的奶油,1,0,0.0586,0.4307,0.4414,0.2711,0.4375,0.6,False,False,如 / 何 / 自 / 己 / 完成 / 生 / 日 / 蛋 / 糕 / 上 / 奶 / 油,如 / 何 / 里 / 制 / 作 / 蛋 / 糕 / 上 / 面 / 奶 / 油
FP_误判为相似,为什么地下城进不去频道,为什么我家地下城进不去,0,1,0.4729,0.7547,0.8336,0.4646,0.8182,0.6364,False,False,为 / 什 / 么 / 地 / 下 / 城 / 进 / 不 / 去 / 频 / 道,为 / 什 / 么 / 地 / 下 / 城 / 进 / 不 / 去
FP_误判为相似,你好毒英语怎么说,你好用英语怎么说,0,1,0.362,0.7183,0.7523,0.4475,0.75,0.875,False,False,好 / 毒 / 英 / 语 / 怎 / 么 / 说,好 / 用 / 英 / 语 / 怎 / 么 / 说
FP_误判为相似,今年流行什么歌,今年流行穿什么？,0,1,0.3439,0.6953,0.7523,0.3779,0.75,0.75,False,False,今 / 年 / 流 / 行 / 什 / 么 / 歌,今 / 年 / 流 / 行 / 穿 / 什 / 么
FN_漏判相似,这个图片出于哪个动画？,这个图片是什么动画,1,0,0.0592,0.4258,0.4503,0.2337,0.4444,0.5455,False,False,图 / 片 / 出 / 于 / 哪 / 动 / 画,图 / 片 / 什 / 么 / 动 / 画
FP_误判为相似,看漫画哪个软件好,好的画漫画的软件,0,1,0.1808,0.5394,0.6702,0.0843,0.6667,0.25,False,False,看 / 漫 / 画 / 哪 / 程序 / 好,好 / 画 / 漫 / 画 / 程序
FN_漏判相似,一部鳄鱼电影,一部有关于鳄鱼的电影,1,0,0.0972,0.496,0.5797,0.1406,0.5,0.6,False,False,鳄 / 鱼 / 电影,有 / 关 / 于 / 鳄 / 鱼 / 电影
FP_误判为相似,聚视网的视频怎么下载,播视网视频怎么下载,0,1,0.4484,0.7609,0.835,0.4595,0.7778,0.8,False,False,聚 / 视 / 网 / 视 / 频 / 怎 / 么 / 下 / 载,播 / 视 / 网 / 视 / 频 / 怎 / 么 / 下 / 载
FP_误判为相似,手机版我的世界怎么玩生存,我的世界手机版生存怎么飞,0,1,0.3867,0.6733,0.802,0.3152,0.8,0.25,False,False,手机 / 版 / 世 / 界 / 怎 / 么 / 玩 / 生 / 存,世 / 界 / 手机 / 版 / 生 / 存 / 怎 / 么 / 飞
FP_误判为相似,脑筋急转弯，什么腿最长？,什么车最长(脑筋急转弯),0,1,0.414,0.669,0.82,0.3629,0.8182,0.0,False,False,脑 / 筋 / 急 / 转 / 弯 / 什 / 么 / 腿 / 最 / 长,什 / 么 / 车 / 最 / 长 / 脑 / 筋 / 急 / 转 / 弯
FP_误判为相似,双子座的男生喜欢什么样的女生,双子座的女生会喜欢什么样的男生,0,1,0.6612,0.8675,0.9317,0.6291,0.9091,0.8,False,False,双 / 子 / 座 / 男 / 生 / 喜欢 / 什 / 么 / 样 / 女 / 生,双 / 子 / 座 / 女 / 生 / 会 / 喜欢 / 什 / 么 / 样 / 男 / 生
FP_误判为相似,什么品种的鸽子长的大,这鸽子什么品种啊？,0,1,0.2006,0.5518,0.6735,0.2559,0.6667,0.1,False,False,什 / 么 / 品 / 种 / 鸽 / 子 / 长 / 大,鸽 / 子 / 什 / 么 / 品 / 种 / 啊
FN_漏判相似,淘宝元旦一般打折吗,元旦淘宝打折么？打几折？,1,0,0.1411,0.5166,0.635,0.1049,0.6,0.3333,False,False,淘 / 宝 / 元 / 旦 / 般 / 打 / 折 / 吗,元 / 旦 / 淘 / 宝 / 打 / 折 / 么 / 打 / 几 / 折
FP_误判为相似,五角星怎么打,五角星怎么折,0,1,0.3443,0.7162,0.7168,0.6392,0.7143,0.8333,False,False,五 / 角 / 星 / 怎 / 么 / 打,五 / 角 / 星 / 怎 / 么 / 折
FN_漏判相似,怎么更改微信头像,微信如何更改头像,1,0,0.1296,0.4963,0.603,0.1318,0.6,0.25,False,False,怎 / 么 / 更 / 改 / 微 / 信 / 头 / 像,微 / 信 / 如 / 何 / 更 / 改 / 头 / 像
FP_误判为相似,如何看《鲁豫有约》,如何上鲁豫有约,0,1,0.3407,0.687,0.7523,0.3779,0.75,0.6667,False,False,如 / 何 / 看 / 鲁 / 豫 / 有 / 约,如 / 何 / 上 / 鲁 / 豫 / 有 / 约
FP_误判为相似,这件衣服里面的图叫什么名？,这件衣服里面搭什么,0,1,0.2059,0.6053,0.6499,0.3982,0.6364,0.6154,False,False,件 / 衣 / 服 / 里 / 面 / 图 / 叫 / 什 / 么 / 名,件 / 衣 / 服 / 里 / 面 / 搭 / 什 / 么
FP_误判为相似,中国用韩语怎么说,我来自中国用韩语怎么说,0,1,0.5036,0.7903,0.8182,0.7233,0.8,0.7273,False,False,中 / 国 / 用 / 韩 / 语 / 怎 / 么 / 说,来 / 自 / 中 / 国 / 用 / 韩 / 语 / 怎 / 么 / 说
FP_误判为相似,充电宝的灯怎么关,充电宝怎么用,0,1,0.1707,0.5697,0.6328,0.2301,0.625,0.625,False,False,充 / 电 / 宝 / 灯 / 怎 / 么 / 关,充 / 电 / 宝 / 怎 / 么 / 用
FP_误判为相似,擦伤用什么药好得快,擦伤吃什么好得快,0,1,0.2529,0.6389,0.7061,0.2203,0.7,0.7778,False,False,擦 / 伤 / 用 / 什 / 么 / 药 / 好 / 得 / 快,擦 / 伤 / 味道 / 什 / 么 / 好 / 得 / 快
FP_误判为相似,贴吧怎么涂鸦照片,照片怎么涂鸦,0,1,0.3548,0.6843,0.7765,0.3902,0.75,0.5,False,False,贴 / 吧 / 怎 / 么 / 涂 / 鸦 / 照 / 片,照 / 片 / 怎 / 么 / 涂 / 鸦
FP_误判为相似,有没有新的电影,有没有很那个的电影,0,1,0.2333,0.6391,0.7523,0.3088,0.6,0.6667,False,False,有 / 没 / 有 / 新 / 电影,有 / 没 / 有 / 那 / 电影
FP_误判为相似,有没有人能告诉我,有没有人能告诉你，我很爱你,0,1,0.5718,0.8055,0.9055,0.513,0.8571,0.6154,False,False,有 / 没 / 有 / 人 / 能 / 告 / 诉,有 / 没 / 有 / 人 / 能 / 告 / 诉 / 爱
FP_误判为相似,带头和棒的成语是什么,来带头的成语是什么,0,1,0.3575,0.7026,0.7523,0.4595,0.75,0.7,False,False,带 / 头 / 棒 / 成 / 语 / 什 / 么,来 / 带 / 头 / 成 / 语 / 什 / 么
FN_漏判相似,哪里有卖漫画书的,买漫画书到哪里,1,0,0.104,0.4611,0.5586,0.203,0.5556,0.125,False,False,哪 / 里 / 有 / 卖 / 漫 / 画 / 书,购买 / 漫 / 画 / 书 / 到 / 哪 / 里
FP_误判为相似,用分数混合运算,分数混合运算三,0,1,0.4042,0.7393,0.7523,0.6949,0.75,0.7143,False,False,用 / 分 / 数 / 混 / 合 / 运 / 算,分 / 数 / 混 / 合 / 运 / 算 / 三
FP_误判为相似,外场票是什么意思,跑外场是什么意思,0,1,0.3571,0.7058,0.7523,0.4475,0.75,0.75,False,False,外 / 场 / 票 / 什 / 么 / 意 / 思,跑 / 外 / 场 / 什 / 么 / 意 / 思
FP_误判为相似,刷屏什么意思,不刷屏什么意思,0,1,0.3645,0.3435,0.8674,0.8336,0.8571,0.8571,True,False,刷 / 屏 / 什 / 么 / 意 / 思,不 / 刷 / 屏 / 什 / 么 / 意 / 思
FP_误判为相似,鲤鱼要怎么做才好吃,鲤鱼蛋怎么做才好吃？,0,1,0.5732,0.8158,0.8831,0.5031,0.875,0.8,False,False,鲤 / 鱼 / 怎 / 么 / 完成 / 才 / 好,鲤 / 鱼 / 蛋 / 怎 / 么 / 完成 / 才 / 好
FP_误判为相似,美玡的男人是谁？,这男人是谁？,0,1,0.1929,0.6021,0.657,0.4071,0.6,0.625,False,False,美 / 玡 / 男 / 人 / 谁,男 / 人 / 谁
FP_误判为相似,男人下嘴唇有痣代表什么,男人嘴唇厚代表什么,0,1,0.2226,0.6185,0.6788,0.2646,0.6667,0.7273,False,False,男 / 人 / 下 / 嘴 / 唇 / 有 / 痣 / 代 / 表 / 什 / 么,男 / 人 / 嘴 / 唇 / 厚 / 代 / 表 / 什 / 么
FN_漏判相似,如何删除提问？,怎么删除自己的提问,1,0,0.0397,0.3533,0.4112,0.0956,0.4,0.3333,False,False,如 / 何 / 删 / 除 / 提 / 问,怎 / 么 / 删 / 除 / 自 / 己 / 提 / 问
FN_漏判相似,上海怎么查违章,上海如何查违章,1,0,0.1156,0.5233,0.5586,0.2244,0.5556,0.7143,False,False,上 / 海 / 怎 / 么 / 查 / 违 / 章,上 / 海 / 如 / 何 / 查 / 违 / 章
FP_误判为相似,什么牌子的美缝剂好呢,瓷片美缝剂什么牌子好,0,1,0.2754,0.5947,0.7327,0.3103,0.7273,0.0,False,False,什 / 么 / 牌 / 子 / 美 / 缝 / 剂 / 好 / 呢,瓷 / 片 / 美 / 缝 / 剂 / 什 / 么 / 牌 / 子 / 好
FP_误判为相似,橄榄好吃吗，什么味,橄榄菜是什么？好吃吗？,0,1,0.2943,0.6149,0.7523,0.2203,0.75,0.1818,False,False,橄 / 榄 / 好 / 吗 / 什 / 么 / 味,橄 / 榄 / 菜 / 什 / 么 / 好 / 吗
FP_误判为相似,春光明媚什么意思？,春光明媚的媚是什么意思,0,1,0.709,0.8647,0.9594,0.4754,1.0,0.6364,False,False,春 / 光 / 明 / 媚 / 什 / 么 / 意 / 思,春 / 光 / 明 / 媚 / 媚 / 什 / 么 / 意 / 思
FP_误判为相似,苹果手机怎么下载天天酷跑破解版,天天酷跑破解版从手机怎么下载,0,1,0.4489,0.7042,0.8267,0.6291,0.7857,0.0,False,False,苹 / 果 / 手机 / 怎 / 么 / 下 / 载 / 天 / 天 / 酷 / 跑 / 破 / 解 / 版,天 / 天 / 酷 / 跑 / 破 / 解 / 版 / 从 / 手机 / 怎 / 么 / 下 / 载
FP_误判为相似,有火车司机吗,火车司机好吗,0,1,0.2927,0.6618,0.7168,0.3876,0.7143,0.6667,False,False,有 / 火 / 车 / 司 / 机 / 吗,火 / 车 / 司 / 机 / 好 / 吗
FP_误判为相似,什么是定向流量？,什么是本地定向流量,0,1,0.3747,0.7113,0.7765,0.4589,0.75,0.6667,False,False,什 / 么 / 定 / 向 / 流 / 量,什 / 么 / 本 / 地 / 定 / 向 / 流 / 量
FN_漏判相似,怎样用电脑免费打电话？给分不多,怎么用电脑免费打电话？,1,0,0.097,0.2456,0.6683,0.4694,0.5714,0.6667,True,False,怎 / 样 / 用 / 电 / 脑 / 免 / 费 / 打 / 电 / 话 / 给 / 分 / 不 / 多,怎 / 么 / 用 / 电 / 脑 / 免 / 费 / 打 / 电 / 话
FN_漏判相似,气血虚吃什么啊,气血亏吃什么好,1,0,0.1156,0.5233,0.5586,0.2244,0.5556,0.7143,False,False,气 / 血 / 虚 / 味道 / 什 / 么 / 啊,气 / 血 / 亏 / 味道 / 什 / 么 / 好
FP_误判为相似,晚安，用韩语怎么说？,晚安的韩语怎么写？,0,1,0.2242,0.6188,0.6735,0.3026,0.6667,0.7,False,False,晚 / 安 / 用 / 韩 / 语 / 怎 / 么 / 说,晚 / 安 / 韩 / 语 / 怎 / 么 / 写
FP_误判为相似,花生芽有什么好处,花生吃了有什么好处,0,1,0.3918,0.7229,0.7799,0.405,0.7778,0.7778,False,False,花 / 生 / 芽 / 有 / 什 / 么 / 好 / 处,花 / 生 / 味道 / 有 / 什 / 么 / 好 / 处
FP_误判为相似,人最美的时候是什么时候？,最美的时候是什么时候,0,1,0.6743,0.8974,0.9266,0.9099,0.8571,0.8333,False,False,人 / 最 / 美 / 时 / 候 / 什 / 么 / 时 / 候,最 / 美 / 时 / 候 / 什 / 么 / 时 / 候
FN_漏判相似,如何快速瘦脸,怎样能快速瘦脸,1,0,0.0422,0.3922,0.3809,0.3391,0.375,0.5714,False,False,如 / 何 / 快速 / 瘦 / 脸,怎 / 样 / 能 / 快速 / 瘦 / 脸
FP_误判为相似,静什么的心情,心情什么静,0,1,0.6615,0.7885,1.0,0.1459,1.0,0.1667,False,False,静 / 什 / 么 / 心 / 情,心 / 情 / 什 / 么 / 静
FP_误判为相似,羽绒服为什么不能水洗,小天鹅洗衣机为什么不能洗羽绒服,0,1,0.1679,0.5526,0.6454,0.3103,0.6,0.3333,False,False,羽 / 绒 / 服 / 为 / 什 / 么 / 不 / 能 / 水 / 洗,小 / 天 / 鹅 / 洗 / 衣 / 机 / 为 / 什 / 么 / 不 / 能 / 洗 / 羽 / 绒 / 服
FP_误判为相似,良加上部首再组词,加上部首并组词,0,1,0.1871,0.5984,0.6328,0.3382,0.625,0.75,False,False,良 / 加 / 上 / 首 / 再 / 组 / 词,加 / 上 / 首 / 并 / 组 / 词
FP_误判为相似,我是歌手双年巅峰会什么时间播出,我是歌手双年巅峰会是指什么,0,1,0.2262,0.6227,0.6608,0.477,0.6429,0.6,False,False,歌 / 手 / 双 / 年 / 巅 / 峰 / 会 / 什 / 么 / 时 / 间 / 播 / 出,歌 / 手 / 双 / 年 / 巅 / 峰 / 会 / 指 / 什 / 么
FP_误判为相似,这是什么头型,这是什么头型女的,0,1,0.5058,0.7935,0.8182,0.7297,0.8,0.75,False,False,什 / 么 / 头 / 型,什 / 么 / 头 / 型 / 女
FP_误判为相似,长颈鹿是怎么叫的,怎么画长颈鹿,0,1,0.2446,0.5715,0.7168,0.2301,0.7143,0.0,False,False,长 / 颈 / 鹿 / 怎 / 么 / 叫,怎 / 么 / 画 / 长 / 颈 / 鹿
FP_误判为相似,白银上黄金怎么打？,怎么买黄金白银,0,1,0.1893,0.5474,0.6735,0.145,0.6667,0.2222,False,False,白 / 银 / 上 / 黄 / 金 / 怎 / 么 / 打,怎 / 么 / 购买 / 黄 / 金 / 白 / 银
FN_漏判相似,有关诚信的小故事,有关不讲诚信的故事，快,1,0,0.0763,0.2171,0.6152,0.2046,0.6,0.5455,True,False,有 / 关 / 诚 / 信 / 小 / 故 / 事,有 / 关 / 不 / 讲 / 诚 / 信 / 故 / 事 / 快
FP_误判为相似,监控驱动怎么安装,监控驱动盘丢了怎么安装,0,1,0.452,0.7531,0.8182,0.4754,0.8,0.7273,False,False,监 / 控 / 驱 / 动 / 怎 / 么 / 安 / 装,监 / 控 / 驱 / 动 / 盘 / 丢 / 怎 / 么 / 安 / 装
FP_误判为相似,找一本日本漫画,找一本日本的式神捉鬼漫画,0,1,0.1922,0.6073,0.7093,0.3694,0.5556,0.5833,False,False,找 / 本 / 日 / 本 / 漫 / 画,找 / 本 / 日 / 本 / 式 / 神 / 捉 / 鬼 / 漫 / 画
FP_误判为相似,穿针引线法怎么用啊,穿针引线器怎么用,0,1,0.2831,0.6666,0.7061,0.405,0.7,0.7778,False,False,穿 / 针 / 引 / 线 / 法 / 怎 / 么 / 用 / 啊,穿 / 针 / 引 / 线 / 器 / 怎 / 么 / 用
FP_误判为相似,广东有哪里好玩的,广东哪里的嗨场好玩？,0,1,0.1937,0.5717,0.6735,0.1217,0.6667,0.5,False,False,广 / 东 / 有 / 哪 / 里 / 好 / 玩,广 / 东 / 哪 / 里 / 嗨 / 场 / 好 / 玩
FP_误判为相似,什么食物不可以一起吃,虾不能和什么食物一起吃,0,1,0.1835,0.2234,0.6392,0.289,0.6364,0.3636,False,True,什 / 么 / 食 / 物 / 不 / 可 / 以 / 起 / 味道,虾 / 不 / 能 / 什 / 么 / 食 / 物 / 起 / 味道
FP_误判为相似,我的世界线怎么获得,我的世界怎么获得鱼,0,1,0.3689,0.7169,0.7523,0.5031,0.75,0.7778,False,False,世 / 界 / 线 / 怎 / 么 / 获 / 得,世 / 界 / 怎 / 么 / 获 / 得 / 鱼
FP_误判为相似,最近有什么新拍的电影？,最近有什么号看的电影,0,1,0.1704,0.5872,0.603,0.4197,0.6,0.7273,False,False,最 / 近 / 有 / 什 / 么 / 新 / 拍 / 电影,最 / 近 / 有 / 什 / 么 / 号 / 看 / 电影
FP_误判为相似,我的世界有什么样的房子图片,我的世界房子图片,0,1,0.1942,0.603,0.657,0.4195,0.6,0.6154,False,False,世 / 界 / 有 / 什 / 么 / 样 / 房 / 子 / 图 / 片,世 / 界 / 房 / 子 / 图 / 片
FP_误判为相似,想和女朋友接吻要怎么说,怎么和女朋友接吻啊？,0,1,0.3828,0.6937,0.7799,0.4256,0.7778,0.4545,False,False,女 / 朋 / 友 / 接 / 吻 / 怎 / 么 / 说,怎 / 么 / 女 / 朋 / 友 / 接 / 吻 / 啊
FP_误判为相似,思密达韩语的意思是什么,韩语哦里哇滴思密达是什么意思,0,1,0.2516,0.6037,0.7629,0.2275,0.6667,0.2143,False,False,思 / 密 / 达 / 韩 / 语 / 意 / 思 / 什 / 么,韩 / 语 / 哦 / 里 / 哇 / 滴 / 思 / 密 / 达 / 什 / 么 / 意 / 思
FP_误判为相似,什么好听的粤语歌,有什么好听的女粤语歌,0,1,0.4304,0.7512,0.7995,0.5133,0.7778,0.8,False,False,什 / 么 / 好 / 听 / 粤 / 语 / 歌,有 / 什 / 么 / 好 / 听 / 女 / 粤 / 语 / 歌
FP_误判为相似,经常沉默的人代表什么,选择沉默的人代表什么,0,1,0.2374,0.652,0.6392,0.622,0.6364,0.8,False,False,经 / 常 / 沉 / 默 / 人 / 代 / 表 / 什 / 么,选 / 择 / 沉 / 默 / 人 / 代 / 表 / 什 / 么
FP_误判为相似,流()失()将成语补充完整,将成语补充完整,0,1,0.4708,0.7625,0.7995,0.7629,0.7778,0.5385,False,False,流 / 失 / 将 / 成 / 语 / 补 / 充 / 完 / 整,将 / 成 / 语 / 补 / 充 / 完 / 整
FN_漏判相似,黄江哪里的话，有进口车买？,说说，黄江进口车去哪里买？,1,0,0.1326,0.4787,0.5473,0.1531,0.6667,0.1538,False,False,黄 / 江 / 哪 / 里 / 话 / 有 / 进 / 口 / 车 / 购买,说 / 说 / 黄 / 江 / 进 / 口 / 车 / 去 / 哪 / 里 / 购买
FP_误判为相似,王维的诗被称为什么,王维，被称为什么,0,1,0.5631,0.8069,0.8831,0.4589,0.875,0.7778,False,False,王 / 维 / 诗 / 被 / 称 / 为 / 什 / 么,王 / 维 / 被 / 称 / 为 / 什 / 么
